d1	d3	h	sat
0.014000	4.4	3	0.999872
0.014000	4.5	3	0.999865
0.014000	4.6	3	0.999859
0.014000	4.7	3	0.999852
0.014000	4.8	3	0.999846
0.014000	4.9	3	0.999839
0.014000	5.0	3	0.999832
0.015000	0.1	1	1.000000
0.015000	0.2	1	1.000000
0.015000	0.3	2	0.999999
0.015000	0.4	2	0.999998
0.015000	0.5	2	0.999998
0.015000	0.6	2	0.999997
0.015000	0.7	2	0.999996
0.015000	0.8	2	0.999995
0.015000	0.9	2	0.999993
0.015000	1.0	2	0.999992
0.015000	1.1	2	0.999990
0.015000	1.2	2	0.999989
0.015000	1.3	2	0.999987
0.015000	1.4	2	0.999985
0.015000	1.5	2	0.999983
0.015000	1.6	2	0.999980
0.015000	1.7	2	0.999978
0.015000	1.8	2	0.999975
0.015000	1.9	2	0.999973
0.015000	2.0	2	0.999970
0.015000	2.1	2	0.999967
0.015000	2.2	2	0.999964
0.015000	2.3	2	0.999961
0.015000	2.4	2	0.999957
0.015000	2.5	2	0.999954
0.015000	2.6	2	0.999950
0.015000	2.7	2	0.999946
0.015000	2.8	3	0.999938
0.015000	2.9	3	0.999933
0.015000	3.0	3	0.999928
0.015000	3.1	3	0.999923
0.015000	3.2	3	0.999918
0.015000	3.3	3	0.999913
0.015000	3.4	3	0.999907
0.015000	3.5	3	0.999902
0.015000	3.6	3	0.999896
0.015000	3.7	3	0.999890
0.015000	3.8	3	0.999884
0.015000	3.9	3	0.999877
0.015000	4.0	3	0.999870
0.015000	4.1	3	0.999863
0.015000	4.2	3	0.999856
0.015000	4.3	3	0.999849
0.015000	4.4	3	0.999842
0.015000	4.5	3	0.999834
0.015000	4.6	3	0.999826
0.015000	4.7	3	0.999818
0.015000	4.8	3	0.999809
0.015000	4.9	3	0.999801
0.015000	5.0	3	0.999792
0.016000	0.1	1	1.000000
0.016000	0.2	2	0.999999
0.016000	0.3	2	0.999999
0.016000	0.4	2	0.999998
0.016000	0.5	2	0.999997
0.016000	0.6	2	0.999996
0.016000	0.7	2	0.999995
0.016000	0.8	2	0.999994
0.016000	0.9	2	0.999992
0.016000	1.0	2	0.999990
0.016000	1.1	2	0.999988
0.016000	1.2	2	0.999986
0.016000	1.3	2	0.999984
0.016000	1.4	2	0.999982
0.016000	1.5	2	0.999979
0.016000	1.6	2	0.999976
0.016000	1.7	2	0.999974
0.016000	1.8	2	0.999971
0.016000	1.9	2	0.999967
0.016000	2.0	2	0.999964
0.016000	2.1	2	0.999960
0.016000	2.2	2	0.999957
0.016000	2.3	2	0.999953
0.016000	2.4	2	0.999949
0.016000	2.5	3	0.999940
0.016000	2.6	3	0.999935
0.016000	2.7	3	0.999930
0.016000	2.8	3	0.999925
0.016000	2.9	3	0.999919
0.016000	3.0	3	0.999913
0.016000	3.1	3	0.999907
0.016000	3.2	3	0.999901
0.016000	3.3	3	0.999894
0.016000	3.4	3	0.999888
0.016000	3.5	3	0.999881
0.016000	3.6	3	0.999874
0.016000	3.7	3	0.999866
0.016000	3.8	3	0.999858
0.016000	3.9	3	0.999850
0.016000	4.0	3	0.999842
0.016000	4.1	3	0.999834
0.016000	4.2	3	0.999825
0.016000	4.3	3	0.999816
0.016000	4.4	3	0.999807
0.016000	4.5	3	0.999797
0.016000	4.6	3	0.999788
0.016000	4.7	3	0.999778
0.016000	4.8	3	0.999767
0.016000	4.9	3	0.999757
0.016000	5.0	3	0.999746
0.017000	0.1	1	1.000000
0.017000	0.2	2	0.999999
0.017000	0.3	2	0.999999
0.017000	0.4	2	0.999998
0.017000	0.5	2	0.999997
0.017000	0.6	2	0.999995
0.017000	0.7	2	0.999994
0.017000	0.8	2	0.999992
0.017000	0.9	2	0.999991
0.017000	1.0	2	0.999989
0.017000	1.1	2	0.999986
0.017000	1.2	2	0.999984
0.017000	1.3	2	0.999981
0.017000	1.4	2	0.999978
0.017000	1.5	2	0.999975
0.017000	1.6	2	0.999972
0.017000	1.7	2	0.999969
0.017000	1.8	2	0.999965
0.017000	1.9	2	0.999961
0.017000	2.0	2	0.999957
0.017000	2.1	2	0.999953
0.017000	2.2	2	0.999949
0.017000	2.3	3	0.999940
0.017000	2.4	3	0.999934
0.017000	2.5	3	0.999929
0.017000	2.6	3	0.999923
0.017000	2.7	3	0.999916
0.017000	2.8	3	0.999910
0.017000	2.9	3	0.999903
0.017000	3.0	3	0.999896
0.017000	3.1	3	0.999889
0.017000	3.2	3	0.999881
0.017000	3.3	3	0.999873
0.017000	3.4	3	0.999865
0.017000	3.5	3	0.999857
0.017000	3.6	3	0.999848
0.017000	3.7	3	0.999839
0.017000	3.8	3	0.999830
0.017000	3.9	3	0.999820
0.017000	4.0	3	0.999810
0.017000	4.1	3	0.999800
0.017000	4.2	3	0.999789
0.017000	4.3	3	0.999778
0.017000	4.4	3	0.999767
0.017000	4.5	3	0.999756
0.017000	4.6	3	0.999744
0.017000	4.7	3	0.999732
0.017000	4.8	3	0.999719
0.017000	4.9	3	0.999707
0.017000	5.0	3	0.999693
0.018000	0.1	1	1.000000
0.018000	0.2	2	0.999999
0.018000	0.3	2	0.999998
0.018000	0.4	2	0.999997
0.018000	0.5	2	0.999996
0.018000	0.6	2	0.999995
0.018000	0.7	2	0.999993
0.018000	0.8	2	0.999991
0.018000	0.9	2	0.999989
0.018000	1.0	2	0.999987
0.018000	1.1	2	0.999984
0.018000	1.2	2	0.999981
0.018000	1.3	2	0.999978
0.018000	1.4	2	0.999975
0.018000	1.5	2	0.999971
0.018000	1.6	2	0.999967
0.018000	1.7	2	0.999963
0.018000	1.8	2	0.999959
0.018000	1.9	2	0.999954
0.018000	2.0	2	0.999950
0.018000	2.1	3	0.999941
0.018000	2.2	3	0.999935
0.018000	2.3	3	0.999929
0.018000	2.4	3	0.999922
0.018000	2.5	3	0.999915
0.018000	2.6	3	0.999908
0.018000	2.7	3	0.999901
0.018000	2.8	3	0.999893
0.018000	2.9	3	0.999885
0.018000	3.0	3	0.999877
0.018000	3.1	3	0.999868
0.018000	3.2	3	0.999859
0.018000	3.3	3	0.999849
0.018000	3.4	3	0.999840
0.018000	3.5	3	0.999830
0.018000	3.6	3	0.999819
0.018000	3.7	3	0.999808
0.018000	3.8	3	0.999797
0.018000	3.9	3	0.999786
0.018000	4.0	3	0.999774
0.018000	4.1	3	0.999761
0.018000	4.2	3	0.999749
0.018000	4.3	3	0.999736
0.018000	4.4	3	0.999722
0.018000	4.5	3	0.999708
0.018000	4.6	3	0.999694
0.018000	4.7	3	0.999680
0.018000	4.8	3	0.999665
0.018000	4.9	4	0.999639
0.018000	5.0	4	0.999622
0.019000	0.1	1	1.000000
0.019000	0.2	2	0.999999
0.019000	0.3	2	0.999998
0.019000	0.4	2	0.999997
0.019000	0.5	2	0.999996
0.019000	0.6	2	0.999994
0.019000	0.7	2	0.999992
0.019000	0.8	2	0.999990
0.019000	0.9	2	0.999987
0.019000	1.0	2	0.999984
0.019000	1.1	2	0.999981
0.019000	1.2	2	0.999978
0.019000	1.3	2	0.999974
0.019000	1.4	2	0.999971
0.019000	1.5	2	0.999966
0.019000	1.6	2	0.999962
0.019000	1.7	2	0.999957
0.019000	1.8	2	0.999952
0.019000	1.9	2	0.999947
0.019000	2.0	3	0.999937
0.019000	2.1	3	0.999930
0.019000	2.2	3	0.999923
0.019000	2.3	3	0.999916
0.019000	2.4	3	0.999909
0.019000	2.5	3	0.999901
0.019000	2.6	3	0.999892
0.019000	2.7	3	0.999883
0.019000	2.8	3	0.999874
0.019000	2.9	3	0.999865
0.019000	3.0	3	0.999855
0.019000	3.1	3	0.999844
0.019000	3.2	3	0.999834
0.019000	3.3	3	0.999822
0.019000	3.4	3	0.999811
0.019000	3.5	3	0.999799
0.019000	3.6	3	0.999786
0.019000	3.7	3	0.999774
0.019000	3.8	3	0.999760
0.019000	3.9	3	0.999747
0.019000	4.0	3	0.999733
0.019000	4.1	3	0.999718
0.019000	4.2	3	0.999703
0.019000	4.3	3	0.999687
0.019000	4.4	3	0.999671
0.019000	4.5	4	0.999645
0.019000	4.6	4	0.999627
0.019000	4.7	4	0.999609
0.019000	4.8	4	0.999590
0.019000	4.9	4	0.999570
0.019000	5.0	4	0.999550
0.020000	0.1	1	1.000000
0.020000	0.2	2	0.999999
0.020000	0.3	2	0.999998
0.020000	0.4	2	0.999997
0.020000	0.5	2	0.999995
0.020000	0.6	2	0.999993
0.020000	0.7	2	0.999991
0.020000	0.8	2	0.999988
0.020000	0.9	2	0.999985
0.020000	1.0	2	0.999982
0.020000	1.1	2	0.999979
0.020000	1.2	2	0.999975
0.020000	1.3	2	0.999970
0.020000	1.4	2	0.999966
0.020000	1.5	2	0.999961
0.020000	1.6	2	0.999956
0.020000	1.7	2	0.999950
0.020000	1.8	3	0.999941
0.020000	1.9	3	0.999934
0.020000	2.0	3	0.999927
0.020000	2.1	3	0.999919
0.020000	2.2	3	0.999911
0.020000	2.3	3	0.999902
0.020000	2.4	3	0.999893
0.020000	2.5	3	0.999884
0.020000	2.6	3	0.999874
0.020000	2.7	3	0.999864
0.020000	2.8	3	0.999853
0.020000	2.9	3	0.999842
0.020000	3.0	3	0.999830
0.020000	3.1	3	0.999818
0.020000	3.2	3	0.999805
0.020000	3.3	3	0.999792
0.020000	3.4	3	0.999779
0.020000	3.5	3	0.999765
0.020000	3.6	3	0.999750
0.020000	3.7	3	0.999735
0.020000	3.8	3	0.999719
0.020000	3.9	3	0.999703
0.020000	4.0	3	0.999686
0.020000	4.1	3	0.999669
0.020000	4.2	4	0.999642
0.020000	4.3	4	0.999623
0.020000	4.4	4	0.999603
0.020000	4.5	4	0.999582
0.020000	4.6	4	0.999561
0.020000	4.7	4	0.999539
0.020000	4.8	4	0.999516
0.020000	4.9	4	0.999493
0.020000	5.0	4	0.999469
0.021000	0.1	1	1.000000
0.021000	0.2	2	0.999999
0.021000	0.3	2	0.999998
0.021000	0.4	2	0.999996
0.021000	0.5	2	0.999994
0.021000	0.6	2	0.999992
0.021000	0.7	2	0.999990
0.021000	0.8	2	0.999987
0.021000	0.9	2	0.999983
0.021000	1.0	2	0.999980
0.021000	1.1	2	0.999975
0.021000	1.2	2	0.999971
0.021000	1.3	2	0.999966
0.021000	1.4	2	0.999961
0.021000	1.5	2	0.999955
0.021000	1.6	2	0.999949
0.021000	1.7	3	0.999939
0.021000	1.8	3	0.999932
0.021000	1.9	3	0.999924
0.021000	2.0	3	0.999915
0.021000	2.1	3	0.999906
0.021000	2.2	3	0.999897
0.021000	2.3	3	0.999887
0.021000	2.4	3	0.999877
0.021000	2.5	3	0.999866
0.021000	2.6	3	0.999854
0.021000	2.7	3	0.999842
0.021000	2.8	3	0.999830
0.021000	2.9	3	0.999817
0.021000	3.0	3	0.999803
0.021000	3.1	3	0.999789
0.021000	3.2	3	0.999774
0.021000	3.3	3	0.999759
0.021000	3.4	3	0.999743
0.021000	3.5	3	0.999726
0.021000	3.6	3	0.999709
0.021000	3.7	3	0.999692
0.021000	3.8	3	0.999673
0.021000	3.9	3	0.999654
0.021000	4.0	4	0.999625
0.021000	4.1	4	0.999604
0.021000	4.2	4	0.999582
0.021000	4.3	4	0.999559
0.021000	4.4	4	0.999536
0.021000	4.5	4	0.999511
0.021000	4.6	4	0.999486
0.021000	4.7	4	0.999460
0.021000	4.8	4	0.999434
0.021000	4.9	4	0.999406
0.021000	5.0	4	0.999378
0.022000	0.1	1	1.000000
0.022000	0.2	2	0.999999
0.022000	0.3	2	0.999997
0.022000	0.4	2	0.999996
0.022000	0.5	2	0.999994
0.022000	0.6	2	0.999991
0.022000	0.7	2	0.999988
0.022000	0.8	2	0.999985
0.022000	0.9	2	0.999981
0.022000	1.0	2	0.999977
0.022000	1.1	2	0.999972
0.022000	1.2	2	0.999967
0.022000	1.3	2	0.999961
0.022000	1.4	2	0.999955
0.022000	1.5	2	0.999949
0.022000	1.6	3	0.999938
0.022000	1.7	3	0.999930
0.022000	1.8	3	0.999922
0.022000	1.9	3	0.999912
0.022000	2.0	3	0.999903
0.022000	2.1	3	0.999892
0.022000	2.2	3	0.999881
0.022000	2.3	3	0.999870
0.022000	2.4	3	0.999858
0.022000	2.5	3	0.999845
0.022000	2.6	3	0.999832
0.022000	2.7	3	0.999818
0.022000	2.8	3	0.999804
0.022000	2.9	3	0.999789
0.022000	3.0	3	0.999773
0.022000	3.1	3	0.999756
0.022000	3.2	3	0.999739
0.022000	3.3	3	0.999721
0.022000	3.4	3	0.999703
0.022000	3.5	3	0.999684
0.022000	3.6	3	0.999664
0.022000	3.7	3	0.999644
0.022000	3.8	4	0.999612
0.022000	3.9	4	0.999589
0.022000	4.0	4	0.999565
0.022000	4.1	4	0.999540
0.022000	4.2	4	0.999515
0.022000	4.3	4	0.999488
0.022000	4.4	4	0.999460
0.022000	4.5	4	0.999432
0.022000	4.6	4	0.999403
0.022000	4.7	4	0.999372
0.022000	4.8	4	0.999341
0.022000	4.9	4	0.999308
0.022000	5.0	4	0.999275
0.023000	0.1	2	1.000000
0.023000	0.2	2	0.999999
0.023000	0.3	2	0.999997
0.023000	0.4	2	0.999995
0.023000	0.5	2	0.999993
0.023000	0.6	2	0.999990
0.023000	0.7	2	0.999987
0.023000	0.8	2	0.999983
0.023000	0.9	2	0.999978
0.023000	1.0	2	0.999974
0.023000	1.1	2	0.999968
0.023000	1.2	2	0.999962
0.023000	1.3	2	0.999956
0.023000	1.4	2	0.999949
0.023000	1.5	3	0.999938
0.023000	1.6	3	0.999930
0.023000	1.7	3	0.999920
0.023000	1.8	3	0.999910
0.023000	1.9	3	0.999900
0.023000	2.0	3	0.999889
0.023000	2.1	3	0.999877
0.023000	2.2	3	0.999865
0.023000	2.3	3	0.999851
0.023000	2.4	3	0.999838
0.023000	2.5	3	0.999823
0.023000	2.6	3	0.999808
0.023000	2.7	3	0.999792
0.023000	2.8	3	0.999775
0.023000	2.9	3	0.999758
0.023000	3.0	3	0.999739
0.023000	3.1	3	0.999721
0.023000	3.2	3	0.999701
0.023000	3.3	3	0.999680
0.023000	3.4	3	0.999659
0.023000	3.5	4	0.999628
0.023000	3.6	4	0.999604
0.023000	3.7	4	0.999579
0.023000	3.8	4	0.999553
0.023000	3.9	4	0.999526
0.023000	4.0	4	0.999499
0.023000	4.1	4	0.999470
0.023000	4.2	4	0.999440
0.023000	4.3	4	0.999409
0.023000	4.4	4	0.999377
0.023000	4.5	4	0.999344
0.023000	4.6	4	0.999309
0.023000	4.7	4	0.999274
0.023000	4.8	4	0.999237
0.023000	4.9	4	0.999200
0.023000	5.0	4	0.999161
0.024000	0.1	2	0.999999
0.024000	0.2	2	0.999998
0.024000	0.3	2	0.999997
0.024000	0.4	2	0.999995
0.024000	0.5	2	0.999992
0.024000	0.6	2	0.999989
0.024000	0.7	2	0.999985
0.024000	0.8	2	0.999981
0.024000	0.9	2	0.999976
0.024000	1.0	2	0.999970
0.024000	1.1	2	0.999964
0.024000	1.2	2	0.999958
0.024000	1.3	2	0.999950
0.024000	1.4	3	0.999939
0.024000	1.5	3	0.999930
0.024000	1.6	3	0.999920
0.024000	1.7	3	0.999910
0.024000	1.8	3	0.999898
0.024000	1.9	3	0.999886
0.024000	2.0	3	0.999874
0.024000	2.1	3	0.999860
0.024000	2.2	3	0.999846
0.024000	2.3	3	0.999831
0.024000	2.4	3	0.999815
0.024000	2.5	3	0.999798
0.024000	2.6	3	0.999781
0.024000	2.7	3	0.999763
0.024000	2.8	3	0.999744
0.024000	2.9	3	0.999724
0.024000	3.0	3	0.999703
0.024000	3.1	3	0.999681
0.024000	3.2	3	0.999659
0.024000	3.3	3	0.999635
0.024000	3.4	4	0.999601
0.024000	3.5	4	0.999574
0.024000	3.6	4	0.999547
0.024000	3.7	4	0.999518
0.024000	3.8	4	0.999488
0.024000	3.9	4	0.999457
0.024000	4.0	4	0.999425
0.024000	4.1	4	0.999391
0.024000	4.2	4	0.999357
0.024000	4.3	4	0.999321
0.024000	4.4	4	0.999284
0.024000	4.5	4	0.999246
0.024000	4.6	4	0.999206
0.024000	4.7	4	0.999165
0.024000	4.8	4	0.999122
0.024000	4.9	4	0.999078
0.024000	5.0	4	0.999033
0.025000	0.1	2	0.999999
0.025000	0.2	2	0.999998
0.025000	0.3	2	0.999996
0.025000	0.4	2	0.999994
0.025000	0.5	2	0.999991
0.025000	0.6	2	0.999987
0.025000	0.7	2	0.999983
0.025000	0.8	2	0.999978
0.025000	0.9	2	0.999973
0.025000	1.0	2	0.999967
0.025000	1.1	2	0.999960
0.025000	1.2	2	0.999952
0.025000	1.3	3	0.999941
0.025000	1.4	3	0.999931
0.025000	1.5	3	0.999921
0.025000	1.6	3	0.999910
0.025000	1.7	3	0.999898
0.025000	1.8	3	0.999885
0.025000	1.9	3	0.999872
0.025000	2.0	3	0.999857
0.025000	2.1	3	0.999842
0.025000	2.2	3	0.999826
0.025000	2.3	3	0.999809
0.025000	2.4	3	0.999791
0.025000	2.5	3	0.999772
0.025000	2.6	3	0.999752
0.025000	2.7	3	0.999731
0.025000	2.8	3	0.999709
0.025000	2.9	3	0.999687
0.025000	3.0	3	0.999663
0.025000	3.1	3	0.999638
0.025000	3.2	4	0.999603
0.025000	3.3	4	0.999575
0.025000	3.4	4	0.999546
0.025000	3.5	4	0.999515
0.025000	3.6	4	0.999484
0.025000	3.7	4	0.999451
0.025000	3.8	4	0.999416
0.025000	3.9	4	0.999381
0.025000	4.0	4	0.999344
0.025000	4.1	4	0.999305
0.025000	4.2	4	0.999265
0.025000	4.3	4	0.999224
0.025000	4.4	4	0.999181
0.025000	4.5	4	0.999137
0.025000	4.6	4	0.999091
0.025000	4.7	4	0.999044
0.025000	4.8	5	0.998981
0.025000	4.9	5	0.998928
0.025000	5.0	5	0.998874
0.026000	0.1	2	0.999999
0.026000	0.2	2	0.999998
0.026000	0.3	2	0.999996
0.026000	0.4	2	0.999993
0.026000	0.5	2	0.999990
0.026000	0.6	2	0.999986
0.026000	0.7	2	0.999981
0.026000	0.8	2	0.999976
0.026000	0.9	2	0.999970
0.026000	1.0	2	0.999963
0.026000	1.1	2	0.999955
0.026000	1.2	2	0.999947
0.026000	1.3	3	0.999934
0.026000	1.4	3	0.999923
0.026000	1.5	3	0.999911
0.026000	1.6	3	0.999899
0.026000	1.7	3	0.999885
0.026000	1.8	3	0.999871
0.026000	1.9	3	0.999855
0.026000	2.0	3	0.999839
0.026000	2.1	3	0.999822
0.026000	2.2	3	0.999804
0.026000	2.3	3	0.999784
0.026000	2.4	3	0.999764
0.026000	2.5	3	0.999743
0.026000	2.6	3	0.999720
0.026000	2.7	3	0.999697
0.026000	2.8	3	0.999672
0.026000	2.9	3	0.999646
0.026000	3.0	4	0.999611
0.026000	3.1	4	0.999581
0.026000	3.2	4	0.999551
0.026000	3.3	4	0.999519
0.026000	3.4	4	0.999485
0.026000	3.5	4	0.999450
0.026000	3.6	4	0.999414
0.026000	3.7	4	0.999377
0.026000	3.8	4	0.999337
0.026000	3.9	4	0.999297
0.026000	4.0	4	0.999254
0.026000	4.1	4	0.999210
0.026000	4.2	4	0.999165
0.026000	4.3	4	0.999117
0.026000	4.4	4	0.999068
0.026000	4.5	4	0.999018
0.026000	4.6	5	0.998951
0.026000	4.7	5	0.998894
0.026000	4.8	5	0.998836
0.026000	4.9	5	0.998775
0.026000	5.0	5	0.998713
0.027000	0.1	2	0.999999
0.027000	0.2	2	0.999998
0.027000	0.3	2	0.999996
0.027000	0.4	2	0.999993
0.027000	0.5	2	0.999989
0.027000	0.6	2	0.999984
0.027000	0.7	2	0.999979
0.027000	0.8	2	0.999973
0.027000	0.9	2	0.999966
0.027000	1.0	2	0.999958
0.027000	1.1	2	0.999950
0.027000	1.2	3	0.999937
0.027000	1.3	3	0.999926
0.027000	1.4	3	0.999914
0.027000	1.5	3	0.999901
0.027000	1.6	3	0.999887
0.027000	1.7	3	0.999871
0.027000	1.8	3	0.999855
0.027000	1.9	3	0.999838
0.027000	2.0	3	0.999820
0.027000	2.1	3	0.999800
0.027000	2.2	3	0.999780
